N_CTX,Triton [FP16],Triton [FP8]
1024.000000,156.256102,272.498268
2048.000000,161.612125,299.935392
4096.000000,161.179312,302.860746
8192.000000,172.298906,312.413357
16384.000000,172.759230,312.251493
