N_CTX,Triton [FP16],Triton [FP8]
1024.000000,56.228685,56.202507
2048.000000,77.331801,78.085862
4096.000000,94.300960,93.998958
8192.000000,104.562203,104.531070
16384.000000,110.422957,110.359403
